Q1,Q2,Q3,Q4,Q5
32.0,7.0,3.0,12.0,4.0
32.0,7.0,10.0,12.0,12.0
12.0,0.0,0.0,0.0,0.0
16.0,0.0,2.0,0.0,1.0
28.0,0.0,0.0,0.0,0.0
20.0,0.0,10.0,0.0,16.0
22.0,0.0,10.0,0.0,2.0
26.0,1.0,10.0,0.0,2.0
32.0,1.0,10.0,4.0,0.0
24.0,6.0,10.0,5.0,0.0
24.0,6.0,10.0,3.0,6.0
18.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,2.0,0.0
16.0,5.0,6.0,5.0,6.0
30.0,7.0,10.0,12.0,0.0
30.0,7.0,10.0,16.0,20.0
26.0,7.0,10.0,4.0,12.0
32.0,5.0,10.0,14.0,20.0
34.0,5.0,10.0,8.0,20.0
36.0,5.0,10.0,18.0,20.0
36.0,2.0,10.0,20.0,6.0
38.0,10.0,10.0,14.0,20.0
22.0,7.0,10.0,0.0,8.0
16.0,0.0,0.0,0.0,4.0
32.0,4.0,10.0,18.0,8.0
36.0,5.0,10.0,18.0,4.0
38.0,5.0,10.0,20.0,14.0
24.0,0.0,10.0,0.0,8.0
32.0,10.0,10.0,20.0,20.0
26.0,2.0,10.0,6.0,12.0
12.0,0.0,0.0,0.0,4.0
26.0,2.0,10.0,0.0,20.0
38.0,5.0,10.0,12.0,12.0
34.0,10.0,10.0,20.0,12.0
6.0,0.0,0.0,0.0,0.0
18.0,0.0,2.0,0.0,4.0
18.0,0.0,10.0,0.0,0.0
22.0,0.0,10.0,0.0,4.0
22.0,0.0,0.0,0.0,0.0
30.0,5.0,10.0,12.0,0.0
36.0,5.0,10.0,16.0,8.0
26.0,7.0,10.0,18.0,2.0
28.0,7.0,10.0,10.0,10.0
18.0,1.0,10.0,0.0,0.0
24.0,0.0,10.0,0.0,4.0
12.0,0.0,0.0,0.0,0.0
30.0,10.0,10.0,2.0,8.0
22.0,10.0,10.0,2.0,12.0
32.0,7.0,10.0,20.0,20.0
20.0,0.0,0.0,0.0,0.0
22.0,0.0,10.0,4.0,4.0
22.0,7.0,10.0,2.0,4.0
24.0,1.0,10.0,3.0,12.0
24.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,16.0
30.0,0.0,0.0,0.0,0.0
20.0,0.0,5.0,0.0,0.0
32.0,7.0,10.0,14.0,15.0
14.0,1.0,6.0,2.0,1.0
26.0,0.0,10.0,0.0,2.0
8.0,7.0,7.0,0.0,4.0
20.0,0.0,10.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0
18.0,0.0,10.0,1.0,20.0
30.0,1.0,10.0,20.0,10.0
26.0,1.0,2.0,3.0,0.0
26.0,0.0,0.0,0.0,0.0
32.0,2.0,10.0,4.0,8.0
36.0,5.0,10.0,14.0,4.0
